20/May/2017

edge: (179, 168), down: 4, up: 10, left: 7, right: 8, (L==R) = False
edge: (0, 223),   down: 4, up: 4, left: 4, right: 10, (L==R) = False
edge: (332, 333), down: 4, up: 17, left: 6, right: 3, (L==R) = False
edge: (321, 317), down: 3, up: 5, left: 4, right: 9, (L==R) = False
edge: (137, 136), down: 4, up: 15, left: 5, right: 5, (L==R) = False
edge: (298, 297), down: 3, up: 9, left: 6, right: 6, (L==R) = False
edge: (117, 115), down: 3, up: 5, left: 8, right: 7, (L==R) = False
edge: (317, 316), down: 3, up: 9, left: 5, right: 4, (L==R) = False
edge: (223, 330), down: 4, up: 10, left: 4, right: 6, (L==R) = False
edge: (211, 221), down: 4, up: 4, left: 6, right: 5, (L==R) = False
edge: (293, 294), down: 4, up: 9, left: 6, right: 5, (L==R) = False
edge: (231, 179), down: 4, up: 7, left: 7, right: 10, (L==R) = False
edge: (1, 112),   down: 4, up: 16, left: 4, right: 10, (L==R) = False
edge: (38, 118),  down: 3, up: 4, left: 11, right: 7, (L==R) = False
edge: (176, 162), down: 3, up: 5, left: 7, right: 9, (L==R) = False
edge: (45, 91),   down: 4, up: 10, left: 19, right: 3, (L==R) = False
edge: (87, 84),   down: 3, up: 13, left: 5, right: 7, (L==R) = False
edge: (172, 178), down: 4, up: 7, left: 7, right: 7, (L==R) = False
edge: (263, 261), down: 3, up: 8, left: 8, right: 6, (L==R) = False
edge: (306, 305), down: 4, up: 4, left: 7, right: 6, (L==R) = False
edge: (95, 98),   down: 4, up: 3, left: 8, right: 5, (L==R) = False
edge: (0, 341),   down: 4, up: 4, left: 4, right: 6, (L==R) = False
edge: (208, 211), down: 4, up: 6, left: 8, right: 4, (L==R) = False
edge: (131, 337), down: 3, up: 5, left: 13, right: 12, (L==R) = False
edge: (371, 372), down: 4, up: 5, left: 15, right: 10, (L==R) = False
edge: (262, 269), down: 3, up: 8, left: 8, right: 4, (L==R) = False
edge: (0, 1),     down: 4, up: 4, left: 4, right: 16, (L==R) = False
edge: (72, 73),   down: 4, up: 10, left: 6, right: 7, (L==R) = False
edge: (47, 77),   down: 3, up: 8, left: 19, right: 10, (L==R) = False
edge: (349, 347), down: 4, up: 11, left: 13, right: 5, (L==R) = False
edge: (341, 352), down: 4, up: 6, left: 4, right: 16, (L==R) = False
edge: (187, 174), down: 4, up: 4, left: 7, right: 7, (L==R) = False
edge: (56, 118),  down: 4, up: 7, left: 19, right: 3, (L==R) = False
edge: (125, 393), down: 3, up: 6, left: 7, right: 9, (L==R) = False
edge: (161, 176), down: 3, up: 7, left: 9, right: 5, (L==R) = False
edge: (80, 72),   down: 4, up: 6, left: 4, right: 10, (L==R) = False
edge: (352, 1),   down: 4, up: 16, left: 6, right: 4, (L==R) = False
edge: (70, 121),  down: 4, up: 4, left: 14, right: 7, (L==R) = False
edge: (347, 358), down: 4, up: 5, left: 11, right: 10, (L==R) = False
edge: (174, 187), down: 4, up: 4, left: 7, right: 7, (L==R) = False
edge: (267, 264), down: 4, up: 13, left: 8, right: 8, (L==R) = False
edge: (105, 80),  down: 4, up: 6, left: 13, right: 4, (L==R) = False
edge: (118, 39),  down: 3, up: 7, left: 4, right: 11, (L==R) = False
edge: (48, 47),   down: 3, up: 19, left: 10, right: 8, (L==R) = False
edge: (96, 94),   down: 4, up: 7, left: 5, right: 8, (L==R) = False
edge: (269, 267), down: 4, up: 8, left: 3, right: 13, (L==R) = False
edge: (168, 228), down: 4, up: 8, left: 10, right: 7, (L==R) = False
edge: (6, 16),    down: 3, up: 9, left: 9, right: 7, (L==R) = False
edge: (227, 219), down: 4, up: 8, left: 7, right: 8, (L==R) = False
edge: (12, 8),    down: 3, up: 9, left: 7, right: 9, (L==R) = False
edge: (220, 229), down: 4, up: 9, left: 8, right: 7, (L==R) = False
edge: (44, 66),   down: 3, up: 10, left: 19, right: 14, (L==R) = False
edge: (355, 354), down: 4, up: 11, left: 4, right: 11, (L==R) = False
edge: (83, 105),  down: 4, up: 13, left: 7, right: 6, (L==R) = False
edge: (110, 109), down: 3, up: 5, left: 6, right: 8, (L==R) = False
edge: (32, 31),   down: 4, up: 7, left: 3, right: 14, (L==R) = False
edge: (221, 211), down: 4, up: 4, left: 5, right: 6, (L==R) = False
edge: (69, 70),   down: 4, up: 14, left: 8, right: 4, (L==R) = False
edge: (97, 91),   down: 3, up: 4, left: 7, right: 10, (L==R) = False
edge: (251, 250), down: 3, up: 10, left: 8, right: 5, (L==R) = False
edge: (77, 48),   down: 3, up: 10, left: 8, right: 19, (L==R) = False
edge: (92, 53),   down: 3, up: 10, left: 13, right: 19, (L==R) = False
edge: (370, 349), down: 4, up: 13, left: 10, right: 11, (L==R) = False
edge: (289, 291), down: 4, up: 15, left: 6, right: 4, (L==R) = False
edge: (362, 235), down: 4, up: 8, left: 6, right: 17, (L==R) = False
edge: (185, 181), down: 3, up: 7, left: 7, right: 8, (L==R) = False
edge: (156, 173), down: 4, up: 7, left: 6, right: 7, (L==R) = False
edge: (381, 122), down: 4, up: 7, left: 15, right: 4, (L==R) = False
edge: (279, 207), down: 3, up: 8, left: 17, right: 4, (L==R) = False
edge: (84, 81),   down: 3, up: 7, left: 13, right: 5, (L==R) = False
edge: (175, 174), down: 4, up: 7, left: 7, right: 4, (L==R) = False
edge: (337, 335), down: 3, up: 12, left: 5, right: 13, (L==R) = False
edge: (310, 308), down: 4, up: 3, left: 8, right: 7, (L==R) = False
edge: (53, 52),   down: 3, up: 19, left: 10, right: 13, (L==R) = False
edge: (35, 369),  down: 4, up: 13, left: 16, right: 10, (L==R) = False
edge: (99, 108),  down: 4, up: 8, left: 13, right: 5, (L==R) = False
edge: (16, 10),   down: 3, up: 7, left: 9, right: 9, (L==R) = False
edge: (244, 245), down: 4, up: 8, left: 3, right: 6, (L==R) = False
edge: (281, 310), down: 4, up: 8, left: 15, right: 3, (L==R) = False
edge: (126, 41),  down: 4, up: 4, left: 6, right: 11, (L==R) = False
edge: (91, 89),   down: 3, up: 10, left: 4, right: 7, (L==R) = False
edge: (234, 236), down: 4, up: 11, left: 6, right: 3, (L==R) = False
edge: (235, 246), down: 4, up: 17, left: 8, right: 5, (L==R) = False
edge: (292, 293), down: 4, up: 6, left: 5, right: 9, (L==R) = False
edge: (255, 251), down: 3, up: 8, left: 5, right: 10, (L==R) = False
edge: (136, 147), down: 4, up: 5, left: 15, right: 11, (L==R) = False
edge: (316, 321), down: 3, up: 4, left: 9, right: 5, (L==R) = False
edge: (57, 374),  down: 3, up: 16, left: 5, right: 12, (L==R) = False
edge: (291, 325), down: 4, up: 4, left: 15, right: 11, (L==R) = False
edge: (351, 134), down: 4, up: 15, left: 11, right: 3, (L==R) = False
edge: (305, 306), down: 4, up: 4, left: 6, right: 7, (L==R) = False
edge: (133, 132), down: 3, up: 6, left: 15, right: 4, (L==R) = False
edge: (95, 93),   down: 3, up: 8, left: 4, right: 5, (L==R) = False
edge: (308, 310), down: 3, up: 4, left: 7, right: 8, (L==R) = False
edge: (19, 18),   down: 3, up: 4, left: 6, right: 7, (L==R) = False
edge: (114, 111), down: 4, up: 5, left: 4, right: 6, (L==R) = False
edge: (132, 353), down: 4, up: 6, left: 3, right: 11, (L==R) = False
edge: (236, 242), down: 3, up: 11, left: 4, right: 8, (L==R) = False
edge: (52, 92),   down: 3, up: 13, left: 19, right: 10, (L==R) = False
edge: (390, 23),  down: 4, up: 6, left: 9, right: 7, (L==R) = False
edge: (321, 316), down: 4, up: 3, left: 5, right: 9, (L==R) = False
edge: (307, 304), down: 4, up: 8, left: 7, right: 6, (L==R) = False
edge: (209, 208), down: 4, up: 8, left: 5, right: 6, (L==R) = False
edge: (147, 148), down: 4, up: 11, left: 5, right: 5, (L==R) = False
edge: (14, 157),  down: 4, up: 6, left: 9, right: 10, (L==R) = False
edge: (369, 367), down: 4, up: 10, left: 13, right: 7, (L==R) = False
edge: (126, 123), down: 4, up: 6, left: 4, right: 7, (L==R) = False
edge: (265, 269), down: 4, up: 3, left: 8, right: 8, (L==R) = False
edge: (153, 355), down: 4, up: 4, left: 5, right: 11, (L==R) = False
edge: (261, 266), down: 3, up: 6, left: 8, right: 8, (L==R) = False
edge: (78, 80),   down: 4, up: 4, left: 7, right: 6, (L==R) = False
edge: (108, 114), down: 4, up: 5, left: 8, right: 4, (L==R) = False
edge: (268, 205), down: 4, up: 6, left: 17, right: 10, (L==R) = False
edge: (225, 333), down: 3, up: 4, left: 7, right: 17, (L==R) = False
edge: (39, 38),   down: 3, up: 11, left: 7, right: 4, (L==R) = False
edge: (288, 276), down: 3, up: 6, left: 15, right: 13, (L==R) = False
edge: (178, 187), down: 4, up: 7, left: 7, right: 4, (L==R) = False
edge: (24, 35),   down: 4, up: 16, left: 7, right: 13, (L==R) = False
edge: (242, 244), down: 3, up: 8, left: 11, right: 4, (L==R) = False
edge: (343, 350), down: 4, up: 11, left: 7, right: 6, (L==R) = False
edge: (150, 164), down: 3, up: 11, left: 11, right: 4, (L==R) = False
edge: (97, 51),   down: 4, up: 7, left: 3, right: 19, (L==R) = False
edge: (245, 234), down: 4, up: 6, left: 8, right: 11, (L==R) = False
edge: (328, 326), down: 3, up: 8, left: 6, right: 9, (L==R) = False
edge: (322, 258), down: 4, up: 11, left: 6, right: 8, (L==R) = False
edge: (123, 40),  down: 4, up: 7, left: 6, right: 11, (L==R) = False
edge: (115, 119), down: 3, up: 7, left: 5, right: 8, (L==R) = False
edge: (121, 120), down: 4, up: 7, left: 4, right: 8, (L==R) = False
edge: (223, 0),   down: 4, up: 4, left: 10, right: 4, (L==R) = False
edge: (391, 390), down: 4, up: 9, left: 7, right: 6, (L==R) = False
edge: (353, 351), down: 4, up: 11, left: 6, right: 15, (L==R) = False
edge: (333, 225), down: 4, up: 3, left: 17, right: 7, (L==R) = False
edge: (395, 362), down: 4, up: 6, left: 5, right: 8, (L==R) = False
edge: (358, 370), down: 4, up: 10, left: 5, right: 13, (L==R) = False
edge: (74, 75),   down: 4, up: 10, left: 7, right: 10, (L==R) = False
edge: (341, 0),   down: 4, up: 4, left: 6, right: 4, (L==R) = False
edge: (61, 62),   down: 4, up: 8, left: 14, right: 3, (L==R) = False
edge: (335, 131), down: 3, up: 13, left: 12, right: 5, (L==R) = False
edge: (393, 392), down: 3, up: 9, left: 6, right: 7, (L==R) = False
edge: (51, 45),   down: 4, up: 19, left: 7, right: 10, (L==R) = False
edge: (139, 156), down: 4, up: 6, left: 15, right: 7, (L==R) = False
edge: (153, 144), down: 4, up: 5, left: 4, right: 15, (L==R) = False
edge: (2, 385),   down: 4, up: 16, left: 10, right: 9, (L==R) = False
edge: (330, 341), down: 4, up: 6, left: 10, right: 4, (L==R) = False
edge: (21, 127),  down: 3, up: 5, left: 10, right: 5, (L==R) = False
edge: (111, 103), down: 4, up: 6, left: 5, right: 13, (L==R) = False
edge: (318, 325), down: 4, up: 11, left: 9, right: 4, (L==R) = False
edge: (114, 104), down: 4, up: 4, left: 5, right: 13, (L==R) = False
edge: (299, 300), down: 4, up: 9, left: 6, right: 7, (L==R) = False
edge: (32, 62),   down: 3, up: 4, left: 7, right: 8, (L==R) = False
edge: (287, 286), down: 4, up: 15, left: 9, right: 5, (L==R) = False
edge: (173, 143), down: 4, up: 7, left: 7, right: 15, (L==R) = False
edge: (1, 0),     down: 4, up: 4, left: 16, right: 4, (L==R) = False
edge: (282, 281), down: 4, up: 15, left: 7, right: 8, (L==R) = False
edge: (207, 204), down: 4, up: 8, left: 3, right: 6, (L==R) = False
edge: (142, 188), down: 4, up: 7, left: 15, right: 7, (L==R) = False
edge: (244, 236), down: 3, up: 4, left: 8, right: 11, (L==R) = False
edge: (128, 346), down: 4, up: 13, left: 6, right: 7, (L==R) = False
edge: (297, 303), down: 3, up: 6, left: 9, right: 6, (L==R) = False
edge: (104, 99),  down: 4, up: 13, left: 4, right: 8, (L==R) = False
edge: (151, 152), down: 4, up: 11, left: 9, right: 3, (L==R) = False
edge: (195, 202), down: 3, up: 10, left: 8, right: 6, (L==R) = False
edge: (301, 207), down: 4, up: 3, left: 17, right: 8, (L==R) = False
edge: (270, 288), down: 3, up: 15, left: 13, right: 6, (L==R) = False
edge: (143, 139), down: 4, up: 15, left: 7, right: 6, (L==R) = False
edge: (119, 117), down: 3, up: 8, left: 7, right: 5, (L==R) = False
edge: (41, 126),  down: 4, up: 4, left: 11, right: 6, (L==R) = False
edge: (118, 38),  down: 4, up: 3, left: 7, right: 11, (L==R) = False
edge: (26, 391),  down: 4, up: 7, left: 7, right: 9, (L==R) = False
edge: (148, 137), down: 4, up: 5, left: 11, right: 15, (L==R) = False
edge: (215, 312), down: 4, up: 7, left: 10, right: 17, (L==R) = False
edge: (310, 309), down: 3, up: 8, left: 4, right: 7, (L==R) = False
edge: (291, 285), down: 4, up: 15, left: 4, right: 9, (L==R) = False
edge: (382, 381), down: 4, up: 15, left: 14, right: 7, (L==R) = False
edge: (73, 78),   down: 4, up: 7, left: 10, right: 4, (L==R) = False
edge: (202, 196), down: 3, up: 6, left: 10, right: 8, (L==R) = False
edge: (71, 122),  down: 4, up: 4, left: 14, right: 7, (L==R) = False
edge: (211, 210), down: 4, up: 6, left: 4, right: 10, (L==R) = False
edge: (189, 169), down: 3, up: 4, left: 5, right: 11, (L==R) = False
edge: (323, 225), down: 3, up: 7, left: 17, right: 4, (L==R) = False
edge: (120, 69),  down: 4, up: 8, left: 7, right: 14, (L==R) = False
edge: (374, 336), down: 3, up: 12, left: 16, right: 5, (L==R) = False
edge: (18, 17),   down: 3, up: 7, left: 4, right: 6, (L==R) = False
edge: (145, 153), down: 4, up: 5, left: 11, right: 4, (L==R) = False
edge: (66, 55),   down: 3, up: 14, left: 10, right: 19, (L==R) = False
edge: (41, 383),  down: 4, up: 11, left: 4, right: 15, (L==R) = False
edge: (59, 43),   down: 3, up: 19, left: 8, right: 14, (L==R) = False
edge: (8, 7),     down: 3, up: 9, left: 9, right: 7, (L==R) = False
edge: (164, 152), down: 3, up: 4, left: 11, right: 11, (L==R) = False
edge: (217, 226), down: 3, up: 8, left: 8, right: 6, (L==R) = False
edge: (294, 295), down: 4, up: 5, left: 9, right: 5, (L==R) = False
edge: (265, 262), down: 3, up: 8, left: 4, right: 8, (L==R) = False
edge: (67, 59),   down: 3, up: 8, left: 14, right: 19, (L==R) = False
edge: (134, 133), down: 3, up: 15, left: 4, right: 6, (L==R) = False
edge: (82, 74),   down: 4, up: 7, left: 5, right: 10, (L==R) = False
edge: (186, 175), down: 4, up: 7, left: 7, right: 7, (L==R) = False
edge: (264, 265), down: 4, up: 8, left: 13, right: 3, (L==R) = False
edge: (316, 287), down: 4, up: 9, left: 3, right: 15, (L==R) = False
edge: (205, 215), down: 4, up: 10, left: 6, right: 7, (L==R) = False
edge: (166, 189), down: 3, up: 5, left: 11, right: 4, (L==R) = False
edge: (169, 189), down: 4, up: 3, left: 11, right: 5, (L==R) = False
edge: (306, 307), down: 4, up: 7, left: 4, right: 8, (L==R) = False
edge: (256, 275), down: 4, up: 13, left: 8, right: 6, (L==R) = False
edge: (305, 299), down: 4, up: 6, left: 4, right: 9, (L==R) = False
edge: (188, 170), down: 4, up: 7, left: 7, right: 11, (L==R) = False
edge: (78, 83),   down: 4, up: 7, left: 4, right: 13, (L==R) = False
edge: (152, 164), down: 4, up: 3, left: 11, right: 11, (L==R) = False
edge: (141, 142), down: 4, up: 15, left: 11, right: 7, (L==R) = False
edge: (308, 282), down: 4, up: 7, left: 3, right: 15, (L==R) = False
edge: (170, 141), down: 4, up: 11, left: 7, right: 15, (L==R) = False
edge: (196, 195), down: 3, up: 8, left: 6, right: 10, (L==R) = False
edge: (191, 339), down: 4, up: 5, left: 5, right: 12, (L==R) = False
edge: (355, 153), down: 4, up: 4, left: 11, right: 5, (L==R) = False
edge: (109, 107), down: 3, up: 8, left: 5, right: 6, (L==R) = False
edge: (327, 328), down: 3, up: 6, left: 9, right: 8, (L==R) = False
edge: (34, 56),   down: 4, up: 19, left: 11, right: 7, (L==R) = False
edge: (62, 33),   down: 3, up: 8, left: 4, right: 7, (L==R) = False
edge: (301, 279), down: 3, up: 17, left: 4, right: 8, (L==R) = False
edge: (180, 185), down: 3, up: 7, left: 8, right: 7, (L==R) = False
edge: (346, 343), down: 4, up: 7, left: 13, right: 11, (L==R) = False
edge: (10, 6),    down: 3, up: 9, left: 7, right: 9, (L==R) = False
edge: (228, 231), down: 4, up: 7, left: 8, right: 7, (L==R) = False
edge: (303, 298), down: 3, up: 6, left: 6, right: 9, (L==R) = False
edge: (350, 128), down: 4, up: 6, left: 11, right: 13, (L==R) = False
edge: (204, 290), down: 4, up: 6, left: 8, right: 17, (L==R) = False
edge: (19, 15),   down: 4, up: 6, left: 3, right: 9, (L==R) = False
edge: (127, 22),  down: 3, up: 5, left: 5, right: 10, (L==R) = False
edge: (107, 110), down: 3, up: 6, left: 8, right: 5, (L==R) = False
edge: (104, 114), down: 4, up: 4, left: 13, right: 5, (L==R) = False
edge: (157, 2),   down: 4, up: 10, left: 6, right: 16, (L==R) = False
edge: (33, 32),   down: 3, up: 7, left: 8, right: 4, (L==R) = False
edge: (225, 222), down: 4, up: 7, left: 3, right: 6, (L==R) = False
edge: (183, 167), down: 4, up: 8, left: 5, right: 11, (L==R) = False
edge: (18, 19),   down: 4, up: 3, left: 7, right: 6, (L==R) = False
edge: (229, 227), down: 4, up: 7, left: 9, right: 8, (L==R) = False
edge: (181, 180), down: 3, up: 8, left: 7, right: 7, (L==R) = False
edge: (207, 301), down: 3, up: 4, left: 8, right: 17, (L==R) = False
edge: (326, 327), down: 3, up: 9, left: 8, right: 6, (L==R) = False
edge: (38, 34),   down: 4, up: 11, left: 3, right: 19, (L==R) = False
edge: (333, 323), down: 3, up: 17, left: 4, right: 7, (L==R) = False
edge: (364, 365), down: 4, up: 10, left: 10, right: 15, (L==R) = False
edge: (385, 14),  down: 4, up: 9, left: 16, right: 6, (L==R) = False
edge: (339, 68),  down: 4, up: 12, left: 5, right: 16, (L==R) = False
edge: (250, 255), down: 3, up: 5, left: 10, right: 8, (L==R) = False
edge: (174, 172), down: 4, up: 7, left: 4, right: 7, (L==R) = False
edge: (93, 98),   down: 3, up: 5, left: 8, right: 4, (L==R) = False
edge: (356, 355), down: 4, up: 11, left: 15, right: 4, (L==R) = False
edge: (81, 87),   down: 3, up: 5, left: 7, right: 13, (L==R) = False
edge: (246, 395), down: 4, up: 5, left: 17, right: 6, (L==R) = False
edge: (11, 18),   down: 4, up: 7, left: 9, right: 3, (L==R) = False
edge: (167, 169), down: 4, up: 11, left: 8, right: 3, (L==R) = False
edge: (22, 21),   down: 3, up: 10, left: 5, right: 5, (L==R) = False
edge: (226, 218), down: 3, up: 6, left: 8, right: 8, (L==R) = False
edge: (219, 220), down: 4, up: 8, left: 8, right: 9, (L==R) = False
edge: (221, 209), down: 4, up: 5, left: 4, right: 8, (L==R) = False
edge: (325, 324), down: 4, up: 11, left: 4, right: 6, (L==R) = False
edge: (17, 19),   down: 3, up: 6, left: 7, right: 4, (L==R) = False
edge: (367, 24),  down: 4, up: 7, left: 10, right: 16, (L==R) = False
edge: (309, 308), down: 3, up: 7, left: 8, right: 4, (L==R) = False
edge: (43, 67),   down: 3, up: 14, left: 19, right: 8, (L==R) = False
edge: (91, 97),   down: 4, up: 3, left: 10, right: 7, (L==R) = False
edge: (71, 382),  down: 4, up: 14, left: 4, right: 15, (L==R) = False
edge: (31, 61),   down: 4, up: 14, left: 7, right: 8, (L==R) = False
edge: (162, 161), down: 3, up: 9, left: 5, right: 7, (L==R) = False
edge: (269, 265), down: 3, up: 4, left: 8, right: 8, (L==R) = False
edge: (336, 57),  down: 3, up: 5, left: 12, right: 16, (L==R) = False
edge: (70, 71),   down: 4, up: 14, left: 4, right: 4, (L==R) = False
edge: (169, 166), down: 3, up: 11, left: 4, right: 5, (L==R) = False
edge: (164, 160), down: 4, up: 11, left: 3, right: 9, (L==R) = False
edge: (304, 305), down: 4, up: 6, left: 8, right: 4, (L==R) = False
edge: (365, 371), down: 4, up: 15, left: 10, right: 5, (L==R) = False
edge: (132, 134), down: 3, up: 4, left: 6, right: 15, (L==R) = False
edge: (300, 306), down: 4, up: 7, left: 9, right: 4, (L==R) = False
edge: (98, 95),   down: 3, up: 4, left: 5, right: 8, (L==R) = False
edge: (68, 79),   down: 4, up: 16, left: 12, right: 5, (L==R) = False
edge: (187, 186), down: 4, up: 7, left: 4, right: 7, (L==R) = False
edge: (258, 256), down: 4, up: 8, left: 11, right: 13, (L==R) = False
edge: (290, 301), down: 4, up: 17, left: 6, right: 3, (L==R) = False
edge: (189, 183), down: 4, up: 5, left: 3, right: 8, (L==R) = False
edge: (89, 97),   down: 3, up: 7, left: 10, right: 4, (L==R) = False
edge: (134, 132), down: 4, up: 3, left: 15, right: 6, (L==R) = False
edge: (324, 289), down: 4, up: 6, left: 11, right: 15, (L==R) = False
edge: (384, 126), down: 4, up: 6, left: 15, right: 4, (L==R) = False
edge: (354, 145), down: 4, up: 11, left: 11, right: 5, (L==R) = False
edge: (160, 151), down: 4, up: 9, left: 11, right: 11, (L==R) = False
edge: (325, 291), down: 4, up: 4, left: 11, right: 15, (L==R) = False

06/Lug/2016
    Grafo a fine riduzione:
        2016-07-06 07:25:42,872 - DEBUG --- Face: [(35, 20), (20, 24), (24, 35)]
        2016-07-06 07:25:42,872 - DEBUG --- Face: [(8, 24), (24, 20), (20, 8)]
        2016-07-06 07:25:42,872 - DEBUG --- Face: [(35, 8), (8, 20), (20, 35)]
        2016-07-06 07:25:42,872 - DEBUG --- Face: [(8, 35), (35, 24), (24, 8)]
    Grafo appena ricreato - Step 0 della ricostruzione:
        2016-07-06 07:25:42,895 - DEBUG --- Face: [(35, 24), (24, 20), (20, 35)]
        2016-07-06 07:25:42,895 - DEBUG --- Face: [(8, 35), (35, 20), (20, 8)]
        2016-07-06 07:25:42,896 - DEBUG --- Face: [(35, 8), (8, 24), (24, 35)]
        2016-07-06 07:25:42,896 - DEBUG --- Face: [(20, 24), (24, 8), (8, 20)]

    Domanda: Lo ricostruisco con la stessa rappresentazione di faces()?
    Risposta: Per ora lascio tutto così. E' infatti lo stesso grafo

06/Lug/2016 - Perfect at first shoot??????????
    Original graph:
        2016-07-06 09:34:07,717 - DEBUG --- Face: [(30, 28), (28, 29), (29, 30)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(44, 43), (43, 47), (47, 44)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(2, 8), (8, 4), (4, 2)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(14, 13), (13, 31), (31, 14)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(18, 16), (16, 46), (46, 18)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(0, 6), (6, 1), (1, 0)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(35, 22), (22, 21), (21, 34), (34, 35)]
        2016-07-06 09:34:07,718 - DEBUG --- Face: [(52, 51), (51, 48), (48, 49), (49, 52)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(34, 21), (21, 20), (20, 32), (32, 34)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(24, 37), (37, 38), (38, 23), (23, 24)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(27, 33), (33, 32), (32, 20), (20, 27)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(42, 48), (48, 51), (51, 45), (45, 42)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(33, 36), (36, 35), (35, 34), (34, 32), (32, 33)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(43, 17), (17, 18), (18, 46), (46, 47), (47, 43)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(1, 3), (3, 2), (2, 4), (4, 0), (0, 1)]
        2016-07-06 09:34:07,719 - DEBUG --- Face: [(31, 13), (13, 12), (12, 28), (28, 30), (30, 31)]
        2016-07-06 09:34:07,720 - DEBUG --- Face: [(52, 40), (40, 39), (39, 45), (45, 51), (51, 52)]
        2016-07-06 09:34:07,720 - DEBUG --- Face: [(29, 28), (28, 12), (12, 11), (11, 26), (26, 29)]
        2016-07-06 09:34:07,720 - DEBUG --- Face: [(37, 41), (41, 53), (53, 55), (55, 38), (38, 37)]
        2016-07-06 09:34:07,720 - DEBUG --- Face: [(40, 41), (41, 37), (37, 24), (24, 25), (25, 39), (39, 40)]
        2016-07-06 09:34:07,720 - DEBUG --- Face: [(55, 36), (36, 33), (33, 27), (27, 23), (23, 38), (38, 55)]
        2016-07-06 09:34:07,721 - DEBUG --- Face: [(4, 8), (8, 5), (5, 7), (7, 6), (6, 0), (0, 4)]
        2016-07-06 09:34:07,721 - DEBUG --- Face: [(5, 9), (9, 19), (19, 54), (54, 50), (50, 7), (7, 5)]
        2016-07-06 09:34:07,721 - DEBUG --- Face: [(9, 5), (5, 8), (8, 2), (2, 3), (3, 10), (10, 9)]
        2016-07-06 09:34:07,721 - DEBUG --- Face: [(41, 40), (40, 52), (52, 49), (49, 50), (50, 54), (54, 53), (53, 41)]
